Narrative,Narrative Definition,Narrative Instruction
blaming the war on others rather than the invader,Statements attributing responsibility or fault to entities other than Russia in the context of Russia's invasion of Ukraine.,Look for direct or implied statements that shift blame away from Russia. Consider who is being held responsible for negative events or situations.
discrediting ukraine,"Statements that undermine the legitimacy, actions, or intentions of Ukraine or Ukrainians as a nation.",Look for direct or implied statements that attack some aspect of the Ukrainian society
russia is the victim,Statements that portray Russia as being unfairly targeted or victimized.,Look for narratives that depict Russia as suffering unjust consequences. Focus on language that evokes sympathy for Russia's position.
praise of russia,"Statements that positively highlight Russia's actions, policies, or character","Identify expressions of admiration, support, or positive evaluation of Russia. Consider both explicit praise and subtle commendation."
overpraising the west,"Statements that excessively and unduly laud or extol the virtues, accomplishments, and moral superiority of Western countries, particularly in the context of international relations and military.",None
speculating war outcomes,Statements that predict or make assumptions about the potential results or consequences of a conflict,None
"discrediting the west, diplomacy","Statements that criticize the Western countries, or international diplomatic efforts.","Look for criticism or negative portrayals of Western governments, leaders, or policies. Pay attention to language that suggests incompetence, hypocrisy, or malice."
negative consequences for the west,Statements that highlight or predict adverse outcomes for Western countries and their interests.,Identify predictions or reports of negative impacts on Western nations. Consider both current and future consequences mentioned.
distrust towards media,Statements that question the reliability or integrity of media organizations.,"Look for language that undermines confidence in media sources. Pay attention to claims of bias, misinformation, or manipulation."
amplifying war-related fears,"Statements that evoke fear or anxiety about potential threats, dangers or reactions.",Identify language designed to elicit fear or concern about severe consequences. Consider both direct and implied threats mentioned.
hidden plots by secret schemes of powerful groups,Statements that suggest hidden plots or secretive actions by powerful groups related to the war.,"Look for narratives involving clandestine activities, secret agendas, or unproven allegations. Focus on claims that lack credible evidence and suggest hidden motives."
criticism of climate policies,"Statements that question the effectiveness, economic impact, or motives behind climate policies.",None
criticism of institutions and authorities,"Statements that challenge the competence, integrity, or intentions of various institutions and authorities in relation to climate change.",None
climate change is beneficial,Statements that present arguments that support that changes in climate can have positive effects as well.,None
downplaying climate change,Statements that minimize the significance or impact of climate change.,None
questioning the measurements and science,"Statements that raise doubts about the scientific methods, data, and consensus on climate change.",None
criticism of climate movement,"Statements that challenge the motives, integrity, or impact of the climate movement.",None
controversy about green technologies,Statements that express skepticism or criticism of environmentally friendly technologies.,None
hidden plots by secret schemes of powerful groups,Statements that propose secret plots or hidden agendas related to climate change initiated by powerful entities or groups.,None
amplifying climate fears,Statements that emphasize and amplify fears about the consequences of climate change.,None
green policies are geopolitical instruments,Statements claiming that environmental policies and initiatives are used as tools for geopolitical power and influence rather than genuine environmental concern.,None
